model_name,quantization_name,file_size_gb,repository
"ACE-Step v1.0",FP16,7.7,https://huggingface.co/Comfy-Org/ACE-Step_ComfyUI_repackaged/tree/main/all_in_one
"NVIDIA Cosmos 14B T2W v1.0",BF16,28.5,https://huggingface.co/mcmonkey/cosmos-1.0/tree/main
"NVIDIA Cosmos 14B V2W v1.0",BF16,28.5,https://huggingface.co/mcmonkey/cosmos-1.0/tree/main
"NVIDIA Cosmos 7B V2W v1.0",BF16,14.5,https://huggingface.co/mcmonkey/cosmos-1.0/tree/main
"NVIDIA Cosmos 7B T2W v1.0",BF16,14.5,https://huggingface.co/mcmonkey/cosmos-1.0/tree/main
"FLUX.1 Schnell",FP8,17.2,https://huggingface.co/Comfy-Org/flux1-schnell/tree/main
"FLUX.1 Schnell",FP16,23.8,https://huggingface.co/black-forest-labs/FLUX.1-schnell/tree/main
"FLUX.1 Schnell",Q2_K,4.01,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q3_K_S,5.21,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q4_0,6.77,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q4_1,7.51,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q4_K_S,6.78,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q5_0,8.25,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q5_1,8.99,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q5_K_S,8.26,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q6_K,9.83,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Schnell",Q8_0,12.7,https://huggingface.co/city96/FLUX.1-schnell-gguf/tree/main
"FLUX.1 Dev",FP8,17.2,https://huggingface.co/Comfy-Org/flux1-dev/tree/main
"FLUX.1 Dev",FP16,23.8,https://huggingface.co/black-forest-labs/FLUX.1-dev/tree/main
"FLUX.1 Dev",Q2_K,4.03,https://huggingface.co/city96/FLUX.1-dev-gguf/tree/main
"FLUX.1 Dev",Q3_K_S,5.23,https://huggingface.co/city96/FLUX.1-dev-gguf/tree/main
